std::sort 1000000 96 ms	quick_sort 1000000 87 ms
std::sort 2000000 164 ms	quick_sort 2000000 184 ms
std::sort 3000000 254 ms	quick_sort 3000000 285 ms
std::sort 4000000 345 ms	quick_sort 4000000 386 ms
std::sort 5000000 440 ms	quick_sort 5000000 490 ms
std::sort 6000000 531 ms	quick_sort 6000000 592 ms
std::sort 7000000 623 ms	quick_sort 7000000 702 ms
std::sort 8000000 722 ms	quick_sort 8000000 806 ms
std::sort 9000000 826 ms	quick_sort 9000000 923 ms
std::sort 10000000 922 ms	quick_sort 10000000 1017 ms
std::sort 11000000 1016 ms	quick_sort 11000000 1135 ms
std::sort 12000000 1109 ms	quick_sort 12000000 1249 ms
std::sort 13000000 1206 ms	quick_sort 13000000 1354 ms
std::sort 14000000 1318 ms	quick_sort 14000000 1468 ms
std::sort 15000000 1407 ms	quick_sort 15000000 1575 ms
std::sort 16000000 1502 ms	quick_sort 16000000 1690 ms
std::sort 17000000 1611 ms	quick_sort 17000000 1800 ms
std::sort 18000000 1705 ms	quick_sort 18000000 1907 ms
std::sort 19000000 1822 ms	quick_sort 19000000 2023 ms
